N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
253        MPISG           2     32         1          25         0          8          0.000447750092 
254        MPISG           2     32         1          25         0          8          0.000316858292 
255        MPISG           2     32         1          25         0          8          0.000334501266 
256        MPISG           2     32         1          25         0          8          0.000317573547 
257        MPISG           2     32         1          25         0          8          0.000316381454 
258        MPISG           2     32         1          25         0          8          0.000346422195 
259        MPISG           2     32         1          25         0          8          0.000320434570 
260        MPISG           2     32         1          25         0          8          0.000343561172 
261        MPISG           2     32         1          25         0          8          0.000329256058 
262        MPISG           2     32         1          25         0          8          0.000352382660 
263        MPISG           2     32         1          25         0          8          0.000325679779 
264        MPISG           2     32         1          25         0          8          0.000331401825 
265        MPISG           2     32         1          25         0          8          0.000473260880 
266        MPISG           2     32         1          25         0          8          0.000414371490 
267        MPISG           2     32         1          25         0          8          0.000379562378 
268        MPISG           2     32         1          25         0          8          0.000345945358 
269        MPISG           2     32         1          25         0          8          0.000383615494 
270        MPISG           2     32         1          25         0          8          0.000367403030 
271        MPISG           2     32         1          25         0          8          0.000364065170 
272        MPISG           2     32         1          25         0          8          0.000371456146 
273        MPISG           2     32         1          25         0          8          0.000379323959 
274        MPISG           2     32         1          25         0          8          0.000389099121 
275        MPISG           2     32         1          25         0          8          0.000376701355 
276        MPISG           2     32         1          25         0          16         0.002940893173 
277        MPISG           2     32         1          25         0          16         0.002798557281 
278        MPISG           2     32         1          25         0          16         0.001075267792 
279        MPISG           2     32         1          25         0          16         0.001107215881 
280        MPISG           2     32         1          25         0          16         0.001029491425 
281        MPISG           2     32         1          25         0          16         0.000988245010 
282        MPISG           2     32         1          25         0          16         0.000962018967 
283        MPISG           2     32         1          25         0          16         0.000984430313 
284        MPISG           2     32         1          25         0          16         0.000965833664 
285        MPISG           2     32         1          25         0          16         0.001002311707 
286        MPISG           2     32         1          25         0          16         0.001011371613 
287        MPISG           2     32         1          25         0          16         0.001011133194 
288        MPISG           2     32         1          25         0          16         0.001152276993 
289        MPISG           2     32         1          25         0          16         0.001051902771 
290        MPISG           2     32         1          25         0          16         0.001029253006 
291        MPISG           2     32         1          25         0          16         0.001027822495 
292        MPISG           2     32         1          25         0          16         0.001018285751 
293        MPISG           2     32         1          25         0          16         0.001128911972 
294        MPISG           2     32         1          25         0          16         0.001347064972 
295        MPISG           2     32         1          25         0          16         0.001264095306 
296        MPISG           2     32         1          25         0          16         0.001145839691 
297        MPISG           2     32         1          25         0          16         0.001179218292 
298        MPISG           2     32         1          25         0          16         0.001189231873 
299        MPISG           2     32         1          25         0          16         0.001339435577 
300        MPISG           2     32         1          25         0          16         0.001172065735 
301        MPISG           2     32         1          25         0          32         0.001214027405 
302        MPISG           2     32         1          25         0          32         0.000743627548 
303        MPISG           2     32         1          25         0          32         0.000796556473 
304        MPISG           2     32         1          25         0          32         0.000797986984 
305        MPISG           2     32         1          25         0          32         0.000790834427 
306        MPISG           2     32         1          25         0          32         0.000766277313 
307        MPISG           2     32         1          25         0          32         0.000780820847 
308        MPISG           2     32         1          25         0          32         0.000776052475 
309        MPISG           2     32         1          25         0          32         0.000776052475 
310        MPISG           2     32         1          25         0          32         0.000777006149 
311        MPISG           2     32         1          25         0          32         0.000810861588 
312        MPISG           2     32         1          25         0          32         0.000784873962 
313        MPISG           2     32         1          25         0          32         0.000794649124 
314        MPISG           2     32         1          25         0          32         0.000773191452 
315        MPISG           2     32         1          25         0          32         0.000783681870 
316        MPISG           2     32         1          25         0          32         0.000766515732 
317        MPISG           2     32         1          25         0          32         0.000810623169 
318        MPISG           2     32         1          25         0          32         0.000782489777 
319        MPISG           2     32         1          25         0          32         0.000783443451 
320        MPISG           2     32         1          25         0          32         0.000788211823 
321        MPISG           2     32         1          25         0          32         0.000792503357 
322        MPISG           2     32         1          25         0          32         0.000787019730 
323        MPISG           2     32         1          25         0          32         0.000774145126 
324        MPISG           2     32         1          25         0          32         0.000762701035 
325        MPISG           2     32         1          25         0          32         0.000779390335 
326        MPISG           2     32         1          25         0          32         0.001367568970 
327        MPISG           2     32         1          25         0          32         0.000442981720 
328        MPISG           2     32         1          25         0          32         0.000522613525 
329        MPISG           2     32         1          25         0          32         0.000573396683 
330        MPISG           2     32         1          25         0          32         0.000775098801 
331        MPISG           2     32         1          25         0          32         0.000749349594 
332        MPISG           2     32         1          25         0          32         0.000724554062 
333        MPISG           2     32         1          25         0          32         0.000745534897 
334        MPISG           2     32         1          25         0          32         0.000746250153 
335        MPISG           2     32         1          25         0          32         0.000758171082 
336        MPISG           2     32         1          25         0          32         0.000733375549 
337        MPISG           2     32         1          25         0          32         0.000752449036 
338        MPISG           2     32         1          25         0          32         0.000746488571 
339        MPISG           2     32         1          25         0          32         0.000752925873 
340        MPISG           2     32         1          25         0          32         0.000748395920 
341        MPISG           2     32         1          25         0          32         0.000744342804 
342        MPISG           2     32         1          25         0          32         0.000738620758 
343        MPISG           2     32         1          25         0          32         0.000728845596 
344        MPISG           2     32         1          25         0          32         0.000748157501 
345        MPISG           2     32         1          25         0          32         0.000751495361 
346        MPISG           2     32         1          25         0          32         0.000720500946 
347        MPISG           2     32         1          25         0          32         0.000720739365 
348        MPISG           2     32         1          25         0          32         0.000751495361 
349        MPISG           2     32         1          25         0          32         0.000726938248 
350        MPISG           2     32         1          25         0          32         0.000734806061 
351        MPISG           2     64         1          25         0          1          0.000116109848 
352        MPISG           2     64         1          25         0          1          0.000087976456 
353        MPISG           2     64         1          25         0          1          0.000077486038 
354        MPISG           2     64         1          25         0          1          0.000068664551 
355        MPISG           2     64         1          25         0          1          0.000069856644 
356        MPISG           2     64         1          25         0          1          0.000067710876 
357        MPISG           2     64         1          25         0          1          0.000067472458 
358        MPISG           2     64         1          25         0          1          0.000068426132 
359        MPISG           2     64         1          25         0          1          0.000072002411 
360        MPISG           2     64         1          25         0          1          0.000071287155 
361        MPISG           2     64         1          25         0          1          0.000072479248 
362        MPISG           2     64         1          25         0          1          0.000071525574 
363        MPISG           2     64         1          25         0          1          0.000075340271 
364        MPISG           2     64         1          25         0          1          0.000080823898 
365        MPISG           2     64         1          25         0          1          0.000076770782 
366        MPISG           2     64         1          25         0          1          0.000072956085 
367        MPISG           2     64         1          25         0          1          0.000071048737 
368        MPISG           2     64         1          25         0          1          0.000071048737 
369        MPISG           2     64         1          25         0          1          0.000071287155 
370        MPISG           2     64         1          25         0          1          0.000071287155 
371        MPISG           2     64         1          25         0          1          0.000071525574 
372        MPISG           2     64         1          25         0          1          0.000071287155 
373        MPISG           2     64         1          25         0          1          0.000070810318 
374        MPISG           2     64         1          25         0          1          0.000070810318 
375        MPISG           2     64         1          25         0          1          0.000071763992 
376        MPISG           2     64         1          25         0          2          0.000418663025 
377        MPISG           2     64         1          25         0          2          0.000097513199 
378        MPISG           2     64         1          25         0          2          0.000110864639 
379        MPISG           2     64         1          25         0          2          0.000101804733 
380        MPISG           2     64         1          25         0          2          0.000100851059 
381        MPISG           2     64         1          25         0          2          0.000109434128 
382        MPISG           2     64         1          25         0          2          0.000107288361 
383        MPISG           2     64         1          25         0          2          0.000098705292 
384        MPISG           2     64         1          25         0          2          0.000107526779 
385        MPISG           2     64         1          25         0          2          0.000103712082 
386        MPISG           2     64         1          25         0          2          0.000113010406 
387        MPISG           2     64         1          25         0          2          0.000109434128 
388        MPISG           2     64         1          25         0          2          0.000139236450 
389        MPISG           2     64         1          25         0          2          0.000125408173 
390        MPISG           2     64         1          25         0          2          0.000113010406 
391        MPISG           2     64         1          25         0          2          0.000097751617 
392        MPISG           2     64         1          25         0          2          0.000098705292 
393        MPISG           2     64         1          25         0          2          0.000105142593 
394        MPISG           2     64         1          25         0          2          0.000104665756 
395        MPISG           2     64         1          25         0          2          0.000101566315 
396        MPISG           2     64         1          25         0          2          0.000108957291 
397        MPISG           2     64         1          25         0          2          0.000107526779 
398        MPISG           2     64         1          25         0          2          0.000107765198 
399        MPISG           2     64         1          25         0          2          0.000102281570 
400        MPISG           2     64         1          25         0          2          0.000095844269 
401        MPISG           2     64         1          25         0          4          0.001781702042 
402        MPISG           2     64         1          25         0          4          0.000168085098 
403        MPISG           2     64         1          25         0          4          0.000190496445 
404        MPISG           2     64         1          25         0          4          0.000290155411 
405        MPISG           2     64         1          25         0          4          0.000283956528 
406        MPISG           2     64         1          25         0          4          0.000284433365 
407        MPISG           2     64         1          25         0          4          0.000282049179 
408        MPISG           2     64         1          25         0          4          0.000288248062 
409        MPISG           2     64         1          25         0          4          0.000288963318 
410        MPISG           2     64         1          25         0          4          0.000282764435 
411        MPISG           2     64         1          25         0          4          0.000292539597 
412        MPISG           2     64         1          25         0          4          0.000283479691 
413        MPISG           2     64         1          25         0          4          0.000283718109 
414        MPISG           2     64         1          25         0          4          0.000285148621 
415        MPISG           2     64         1          25         0          4          0.000271797180 
416        MPISG           2     64         1          25         0          4          0.000281572342 
417        MPISG           2     64         1          25         0          4          0.000284194946 
418        MPISG           2     64         1          25         0          4          0.000280618668 
419        MPISG           2     64         1          25         0          4          0.000294208527 
420        MPISG           2     64         1          25         0          4          0.000285387039 
421        MPISG           2     64         1          25         0          4          0.000273227692 
422        MPISG           2     64         1          25         0          4          0.000279903412 
423        MPISG           2     64         1          25         0          4          0.000271797180 
424        MPISG           2     64         1          25         0          4          0.000271320343 
425        MPISG           2     64         1          25         0          4          0.000286340714 
426        MPISG           2     64         1          25         0          8          0.002400159836 
427        MPISG           2     64         1          25         0          8          0.000749588013 
428        MPISG           2     64         1          25         0          8          0.000741004944 
429        MPISG           2     64         1          25         0          8          0.000778913498 
430        MPISG           2     64         1          25         0          8          0.000674724579 
431        MPISG           2     64         1          25         0          8          0.000678539276 
432        MPISG           2     64         1          25         0          8          0.000751733780 
